2026-08-23 19:10:03.504 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:44 - Opening DUT repository with examples\bench.toml
2026-08-23 19:10:04.145 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:44 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle1\bench.toml
2026-08-23 19:10:04.156 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:44 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle1\bench.toml
2026-08-23 19:10:04.157 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-23 19:10:04.169 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:44 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml1\bench.toml
2026-08-23 19:10:04.252 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:10:04.264 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:44 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml1\bench.toml
2026-08-23 19:10:04.265 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:10:04.273 | DEBUG    | cli              | elims_instruments.cli.duts:_repository:44 - Opening DUT repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml1\bench.toml
2026-08-23 19:10:04.295 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle2\bench.toml
2026-08-23 19:10:04.379 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:10:04.391 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle2\bench.toml
2026-08-23 19:10:04.392 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:04.397 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle2\bench.toml
2026-08-23 19:10:04.398 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:10:04.402 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle2\bench.toml
2026-08-23 19:10:04.413 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle2\bench.toml
2026-08-23 19:10:04.414 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-23 19:10:04.424 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle2\bench.toml
2026-08-23 19:10:04.425 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:04.445 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_add_rejects_duplicate_ass0\bench.toml
2026-08-23 19:10:04.529 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:10:04.540 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_add_rejects_duplicate_ass0\bench.toml
2026-08-23 19:10:04.541 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:10:04.548 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml2\bench.toml
2026-08-23 19:10:04.634 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:10:04.646 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml2\bench.toml
2026-08-23 19:10:04.647 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:10:04.668 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml2\bench.toml
2026-08-23 19:10:04.682 | DEBUG    | cli              | elims_instruments.cli.instruments:_repository:49 - Opening instrument repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml2\bench.toml
2026-08-23 19:10:04.683 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:10:05.823 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:10:05.823 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:10:05.824 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-23 19:10:05.824 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment counter -> CNT-001
2026-08-23 19:10:05.824 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 2 bench instruments
2026-08-23 19:10:05.824 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench boards from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:10:05.824 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench duts from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:10:05.824 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:105 - Creating 2 instrument drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:10:05.825 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument primary_dmm from asset DMM-001
2026-08-23 19:10:05.825 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:05.826 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset DMM-001 with type multimeter
2026-08-23 19:10:05.826 | DEBUG    | elims_instruments.intruments.multimeter.factory | elims_instruments.intruments.multimeter.factory:create:67 - Creating Keysight34401A driver for multimeter asset DMM-001
2026-08-23 19:10:05.826 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight34401A driver for asset DMM-001
2026-08-23 19:10:05.826 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight34401A driver for asset DMM-001
2026-08-23 19:10:05.826 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument counter from asset CNT-001
2026-08-23 19:10:05.826 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:05.826 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset CNT-001 with type counter
2026-08-23 19:10:05.826 | DEBUG    | elims_instruments.intruments.counter.factory | elims_instruments.intruments.counter.factory:create:67 - Creating Keysight53220A driver for counter asset CNT-001
2026-08-23 19:10:05.826 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight53220A driver for asset CNT-001
2026-08-23 19:10:05.826 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight53220A driver for asset CNT-001
2026-08-23 19:10:05.826 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:122 - Created 2 instrument drivers
2026-08-23 19:10:05.826 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:86 - Creating 0 board drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:10:05.827 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:103 - Created 0 board drivers
2026-08-23 19:10:05.828 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:86 - Creating 0 DUTs using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:10:05.828 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:103 - Created 0 DUTs
2026-08-23 19:10:05.828 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:121 - Loaded bench with 2 instruments, 0 boards, and 0 DUTs
2026-08-23 19:10:05.943 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:10:05.943 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:10:05.943 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-23 19:10:05.943 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench instruments
2026-08-23 19:10:05.944 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench boards from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:10:05.944 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench boards assignment characterization_board -> BRD-001
2026-08-23 19:10:05.944 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench boards
2026-08-23 19:10:05.944 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench duts from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:10:05.944 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:105 - Creating 1 instrument drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:10:05.945 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument primary_dmm from asset DMM-001
2026-08-23 19:10:05.945 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:05.945 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset DMM-001 with type multimeter
2026-08-23 19:10:05.945 | DEBUG    | elims_instruments.intruments.multimeter.factory | elims_instruments.intruments.multimeter.factory:create:67 - Creating Keysight34401A driver for multimeter asset DMM-001
2026-08-23 19:10:05.945 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight34401A driver for asset DMM-001
2026-08-23 19:10:05.945 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight34401A driver for asset DMM-001
2026-08-23 19:10:05.946 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:122 - Created 1 instrument drivers
2026-08-23 19:10:05.946 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:86 - Creating 1 board drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:10:05.946 | DEBUG    | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:95 - Resolving board characterization_board from asset BRD-001
2026-08-23 19:10:05.946 | DEBUG    | elims_instruments.boards.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:05.947 | DEBUG    | elims_instruments.boards.factory | elims_instruments.boards.factory:create:43 - Creating Board driver for board asset BRD-001
2026-08-23 19:10:05.947 | DEBUG    | elims_instruments.boards.abstract | elims_instruments.boards.abstract:__init__:20 - Initialized Board driver for board asset BRD-001
2026-08-23 19:10:05.947 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:103 - Created 1 board drivers
2026-08-23 19:10:05.947 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:86 - Creating 0 DUTs using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_board0\bench.toml
2026-08-23 19:10:05.948 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:103 - Created 0 DUTs
2026-08-23 19:10:05.948 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:121 - Loaded bench with 1 instruments, 1 boards, and 0 DUTs
2026-08-23 19:10:06.066 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_dut0\bench.toml
2026-08-23 19:10:06.066 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_dut0\bench.toml
2026-08-23 19:10:06.066 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-23 19:10:06.066 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench instruments
2026-08-23 19:10:06.066 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench boards from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_dut0\bench.toml
2026-08-23 19:10:06.066 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench boards assignment characterization_board -> BRD-001
2026-08-23 19:10:06.066 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench boards
2026-08-23 19:10:06.066 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench duts from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_dut0\bench.toml
2026-08-23 19:10:06.066 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench duts assignment characterized_ic -> DUT-001
2026-08-23 19:10:06.067 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench duts
2026-08-23 19:10:06.067 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:105 - Creating 1 instrument drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_dut0\bench.toml
2026-08-23 19:10:06.067 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument primary_dmm from asset DMM-001
2026-08-23 19:10:06.067 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:06.068 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset DMM-001 with type multimeter
2026-08-23 19:10:06.068 | DEBUG    | elims_instruments.intruments.multimeter.factory | elims_instruments.intruments.multimeter.factory:create:67 - Creating Keysight34401A driver for multimeter asset DMM-001
2026-08-23 19:10:06.068 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight34401A driver for asset DMM-001
2026-08-23 19:10:06.068 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight34401A driver for asset DMM-001
2026-08-23 19:10:06.068 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:122 - Created 1 instrument drivers
2026-08-23 19:10:06.068 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:86 - Creating 1 board drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_dut0\bench.toml
2026-08-23 19:10:06.069 | DEBUG    | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:95 - Resolving board characterization_board from asset BRD-001
2026-08-23 19:10:06.069 | DEBUG    | elims_instruments.boards.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:06.070 | DEBUG    | elims_instruments.boards.factory | elims_instruments.boards.factory:create:43 - Creating Board driver for board asset BRD-001
2026-08-23 19:10:06.070 | DEBUG    | elims_instruments.boards.abstract | elims_instruments.boards.abstract:__init__:20 - Initialized Board driver for board asset BRD-001
2026-08-23 19:10:06.070 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:103 - Created 1 board drivers
2026-08-23 19:10:06.070 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:86 - Creating 1 DUTs using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_dut0\bench.toml
2026-08-23 19:10:06.071 | DEBUG    | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:95 - Resolving DUT characterized_ic from asset DUT-001
2026-08-23 19:10:06.071 | DEBUG    | elims_instruments.duts.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:06.072 | DEBUG    | elims_instruments.duts.factory | elims_instruments.duts.factory:create:43 - Creating Dut for DUT asset DUT-001
2026-08-23 19:10:06.072 | DEBUG    | elims_instruments.duts.abstract | elims_instruments.duts.abstract:__init__:19 - Initialized Dut for DUT asset DUT-001
2026-08-23 19:10:06.072 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:103 - Created 1 DUTs
2026-08-23 19:10:06.072 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:121 - Loaded bench with 1 instruments, 1 boards, and 1 DUTs
2026-08-23 19:10:06.187 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_without_board_table0\bench.toml
2026-08-23 19:10:06.187 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_without_board_table0\bench.toml
2026-08-23 19:10:06.187 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-23 19:10:06.187 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench instruments
2026-08-23 19:10:06.187 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench boards from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_without_board_table0\bench.toml
2026-08-23 19:10:06.187 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench duts from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_without_board_table0\bench.toml
2026-08-23 19:10:06.187 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:105 - Creating 1 instrument drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_without_board_table0\bench.toml
2026-08-23 19:10:06.188 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument primary_dmm from asset DMM-001
2026-08-23 19:10:06.188 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:10:06.189 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset DMM-001 with type multimeter
2026-08-23 19:10:06.189 | DEBUG    | elims_instruments.intruments.multimeter.factory | elims_instruments.intruments.multimeter.factory:create:67 - Creating Keysight34401A driver for multimeter asset DMM-001
2026-08-23 19:10:06.189 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight34401A driver for asset DMM-001
2026-08-23 19:10:06.189 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight34401A driver for asset DMM-001
2026-08-23 19:10:06.189 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:122 - Created 1 instrument drivers
2026-08-23 19:10:06.189 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:86 - Creating 0 board drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_without_board_table0\bench.toml
2026-08-23 19:10:06.190 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:103 - Created 0 board drivers
2026-08-23 19:10:06.190 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:86 - Creating 0 DUTs using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_without_board_table0\bench.toml
2026-08-23 19:10:06.191 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:103 - Created 0 DUTs
2026-08-23 19:10:06.191 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:121 - Loaded bench with 1 instruments, 0 boards, and 0 DUTs
2026-08-23 19:10:06.307 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_rejects_missing_ass0\bench.toml
2026-08-23 19:10:06.307 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_rejects_missing_ass0\bench.toml
2026-08-23 19:10:06.307 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment missing -> DMM-999
2026-08-23 19:10:06.307 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench instruments
2026-08-23 19:10:06.307 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench boards from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_rejects_missing_ass0\bench.toml
2026-08-23 19:10:06.307 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench duts from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_rejects_missing_ass0\bench.toml
2026-08-23 19:10:06.308 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:105 - Creating 1 instrument drivers using bench configuration C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_rejects_missing_ass0\bench.toml
